,drug_row,drug_col,DepMap_ID,synergy_loewe,drug_pair
0,31,25,16,-3.1908861920932,325
1,36,16,3,-7.671397799376235,416
2,32,12,13,-5.71319191969299,88
3,12,27,1,-3.941245158880985,39
4,9,25,33,-12.7016741244482,182
5,30,8,10,24.5351733648334,249
6,34,24,24,18.2653142191218,146
7,15,10,16,11.1337847349576,429
8,10,8,6,10.8329279490326,67
9,1,15,7,-9.253529430105363,117
10,28,10,16,5.520691141193655,378
11,27,21,30,7.799034851721605,517
12,30,27,13,6.26181327737746,250
13,19,37,14,-6.76282979971079,28
14,24,30,11,8.31127911443572,204
15,13,6,3,4.955136342116305,283
16,18,26,31,-32.6885566336127,80
17,18,23,12,-11.7251099894529,77
18,15,21,27,-13.2375405745717,300
19,3,4,24,1.98324307575219,287
20,17,8,7,-42.8056949947086,55
21,2,23,15,-11.4737499243192,524
22,3,5,12,-22.8023705871199,535
23,1,11,12,12.4200078869521,472
24,11,21,3,-3.093853741887795,158
25,6,14,3,-5.31811937327233,345
26,26,12,24,2.68798283090932,233
27,37,29,4,13.008862883272,268
28,31,19,22,-4.652563153823985,556
29,3,8,22,5.74201246215316,536
30,23,27,20,4.44618879319923,471
31,32,27,17,-11.268111866948416,90
32,13,3,13,-9.95399035703698,279
33,7,27,20,-4.58991056823496,307
34,32,10,8,6.62976051940353,367
35,7,10,27,-59.4631702421722,304
36,30,29,25,9.28308972518675,531
37,35,29,33,9.693854699289,225
38,33,26,15,-1.46230558866533,332
39,34,26,16,2.9517434623633,382
40,25,3,29,-20.8502781443018,246
41,2,6,5,-5.34625540636527,197
42,6,26,32,-6.78038113631953,342
43,34,8,33,11.3311180868854,139
44,2,14,7,-13.9652914663032,194
45,24,4,9,13.7796364761182,401
46,16,26,27,-21.0524320382823,512
47,17,29,27,-12.6038357124258,64
48,7,4,1,-23.2410140786197,437
49,16,8,21,7.56584217005317,44
50,22,5,1,-13.8887952238966,390
51,9,34,33,-17.2380447292687,179
52,15,23,26,8.46959969555085,499
53,35,22,17,-4.845279016896395,219
54,24,14,22,8.579055639340645,402
55,34,24,15,4.77338888089323,146
56,19,25,3,-21.9736757269998,25
57,32,10,9,-14.4865387784022,367
58,22,14,23,-23.9147966044104,172
59,6,25,24,3.89481914785162,558
60,12,30,11,-3.06219244480048,353
61,30,21,29,4.55533612881755,415
62,16,15,6,8.24433781478484,358
63,36,22,27,-67.03886976093429,259
64,0,34,27,9.490381109380875,5
65,25,3,6,6.81597803919789,246
66,36,15,33,10.4682046645651,264
67,35,33,32,-10.9521863901758,230
68,25,12,11,-5.73242930246321,242
69,35,12,7,-26.249963318169,211
70,6,20,32,-7.62948352666556,339
71,36,7,33,-10.63395612957908,265
72,1,8,5,5.7435236651248704,108
73,30,21,24,9.812741476305,415
74,34,27,21,6.92210323906688,144
75,36,18,14,-17.8970590932632,418
76,32,3,32,1.51863364808197,370
77,10,21,13,3.97404838593301,71
78,17,5,27,5.27036339682138,53
79,22,30,5,-4.13968420442219,170
80,35,26,3,7.4762648782665,223
81,31,20,28,-1.31246114482424,320
82,9,10,2,-18.550310464567097,177
83,22,19,12,-40.7820060355529,159
84,1,5,22,-28.1731815272942,516
85,2,11,28,-10.658779085575691,525
86,3,8,7,6.61620425613636,536
87,2,34,10,-18.485840131294506,190
88,2,23,4,-18.0897405326656,524
89,22,20,25,-73.8715621922369,163
90,14,20,1,-17.196170089107202,290
91,22,14,10,-12.819613317594484,172
92,34,30,5,22.1656036260091,383
93,0,14,1,-7.94839810941256,8
94,10,30,6,6.3335759787608605,463
95,25,30,6,9.981676133408683,412
96,15,8,15,10.9304099770205,293
97,22,15,6,-43.963630019414,392
98,35,31,32,-11.4493123250385,229
99,26,29,9,5.17983279394593,238
100,16,7,32,-13.0180574356279,52
101,17,30,9,-26.301951173943,63
102,10,37,24,13.7967698189336,69
103,34,5,22,-19.1848328356342,381
104,9,7,9,-45.6692543658796,184
105,24,30,8,14.9943274207771,204
106,28,23,30,13.5649685822305,379
107,17,12,8,-51.3057809422369,56
108,35,18,18,9.680806481307595,548
109,15,25,3,4.396221701971645,432
110,22,34,10,-30.1372015566576,391
111,36,31,22,-31.459339268321,422
112,23,27,5,-5.5580591846860905,471
113,8,29,9,-8.773267412602191,352
114,13,29,14,-3.2232417162622298,555
115,23,3,7,5.08250768330334,105
116,23,20,24,3.20211888344008,470
117,15,29,9,5.952312675101281,297
118,35,20,23,-43.6494650424693,214
119,19,8,27,8.953352872620435,17
120,6,25,4,-6.57282473224091,558
121,6,23,7,6.963991031901305,340
122,22,29,25,-42.0849965186068,171
123,3,27,1,3.718686955824485,498
124,13,5,15,4.33853420385869,270
125,13,15,4,6.22992620329576,281
126,19,26,14,-15.6314417405508,24
127,16,7,3,-19.358286676137297,52
128,28,11,7,-15.078251602736,129
129,3,4,3,-4.79965435121037,287
130,25,24,24,14.1434289902523,245
131,18,6,8,-43.1513338259267,84
132,11,21,14,-5.03961063977848,158
133,7,14,28,-13.5853396057214,314
134,11,21,29,-4.586093919081015,158
135,3,5,26,-15.0203796685242,535
136,16,10,15,4.75813769328757,46
137,23,10,10,11.0974936549104,101
138,30,21,17,8.32013093312913,415
139,19,10,30,-8.808936779437564,19
140,13,10,25,12.0624413642359,272
141,27,37,23,-6.42585422196451,122
142,32,11,21,10.886236954644504,92
143,19,29,24,25.987455389331306,27
144,32,19,13,12.1604481087081,87
145,36,34,22,-9.17463106622175,257
146,2,10,19,5.660162566670779,187
147,31,5,21,-80.4027453448511,318
148,10,14,6,7.345888580373115,464
149,24,30,14,9.78425781542839,204
150,19,20,33,-14.6926711519109,20
151,22,3,2,-27.3719871111097,521
152,24,12,25,5.9610561070973205,200
153,16,29,22,-4.28738113803959,50
154,13,7,4,-44.2342725912265,282
155,36,10,24,23.73283936121095,251
156,9,29,4,-11.4998065458308,396
157,35,33,2,-31.52030606991429,230
158,37,29,8,8.064878953500774,268
159,17,34,25,-29.8832374671044,360
160,2,34,5,-14.1723553172388,190
161,27,20,11,-4.3896703339001695,121
162,34,27,22,9.230597918338953,144
163,7,12,27,-52.1348316274724,303
164,15,3,9,3.9691238008763503,433
165,31,12,33,-4.03512779105548,439
166,5,20,4,-45.3318888365224,11
167,36,10,16,12.7011192599691,251
168,26,30,28,15.5596009122378,566
169,36,9,15,-26.0143799419182,419
170,7,23,1,-23.996143488269603,306
171,36,9,23,-7.545588017156225,419
172,6,14,16,-3.99773055044055,345
173,31,11,23,-9.498246795722997,323
174,9,11,24,-16.545684985625,180
175,10,8,24,4.21830478658868,67
176,35,3,8,-22.226333818769,550
177,34,21,16,3.847177130053105,151
178,7,10,0,-22.5768820013819,304
179,4,14,9,3.48574995681207,427
180,21,29,21,-22.8600762108944,316
181,18,23,10,-11.04674632660921,77
182,1,19,4,4.6997825408704,107
183,22,5,0,-11.439081138749,390
184,21,29,30,-11.73947467132271,316
185,35,6,26,-4.02212011024485,231
186,13,15,3,3.07879603348906,281
187,36,33,6,-6.38843702653958,575
188,33,5,1,-3.61070097798646,328
189,27,4,0,6.8950867100584095,123
190,35,6,31,-11.09840169760249,231
191,2,26,24,7.663565498427269,191
192,34,12,1,-11.9621214730374,140
193,6,7,19,-13.8747621140648,347
194,0,5,32,-16.1310057884564,509
195,4,20,5,-4.99684254888898,288
196,18,19,33,-37.3207985753382,72
197,6,25,25,14.2666484378239,558
198,35,6,22,-24.172170789856,231
199,1,3,21,8.510315288213775,562
200,2,12,15,-3.1107980903375703,186
201,34,33,11,-5.13192413371338,152
202,1,5,3,-27.0654712751986,516
203,17,20,18,-49.8819308581072,57
204,1,5,28,-31.9852569391476,516
205,24,4,6,-8.6401093185824,401
206,28,26,1,-29.094747539721297,130
207,1,7,2,-34.8878473096792,118
208,27,29,25,-7.424511635661871,546
209,19,3,26,3.5455587436975096,454
210,15,25,14,-1.0108231366353504,432
211,36,26,6,-8.21693103166095,260
212,20,29,19,-5.83935590826976,85
213,7,8,4,-81.72296844223695,302
214,17,27,17,-21.0190367983225,59
215,35,4,4,-85.3359684422369,410
216,15,37,25,-6.499881142458316,501
217,36,31,27,5.86263277191382,422
218,17,30,31,-11.4876896677376,63
219,34,30,33,17.512111745625,383
220,15,30,22,12.5343261670084,296
221,7,37,7,-5.47023252128451,312
222,28,12,2,-5.53059216696674,377
223,22,19,5,-25.9677928930254,159
224,34,6,23,-33.0328430806398,153
225,35,32,2,-41.560439663958505,215
226,0,8,22,6.668987177738915,1
227,21,8,2,12.9462838590682,503
228,17,6,23,-31.114690437479503,66
229,2,7,2,-73.26531928811639,196
230,16,14,18,-16.0867793379654,51
231,13,12,17,-7.63268013383585,271
232,21,14,20,6.22175442016527,317
233,6,4,24,5.40163456068428,560
234,13,24,20,5.107351474274919,424
235,25,37,6,0.2927740927339295,530
236,16,34,30,-13.6111350236657,48
237,3,14,26,10.9027682497072,426
238,15,26,14,2.35540981215906,431
239,33,15,29,-15.3962107334073,336
240,9,24,12,-6.77318668410677,181
241,36,22,19,-53.2840015038644,259
242,0,5,20,-20.343725237397106,509
243,2,3,3,7.819513075213646,483
244,6,5,10,-24.2765373709032,338
245,32,30,11,6.15776481891701,369
246,35,25,13,-6.365366011238115,224
