,drug_row,drug_col,DepMap_ID,synergy_loewe,drug_pair,label
0,16,15,28,-10.1780457382936,358,0
1,6,3,7,9.723974823668504,559,1
2,15,37,29,-9.36348023816891,501,0
3,13,5,27,-78.9306246922369,270,0
4,16,8,33,-6.90148812261532,44,0
5,15,23,18,6.92622769800667,499,1
6,30,29,32,8.01885601567525,531,1
7,34,8,28,15.0452914382208,139,1
8,7,4,27,-100.470093442237,437,0
9,22,25,5,7.884599343476225,169,1
10,35,27,22,-24.4738917077879,405,0
11,31,25,3,-6.831303437434665,325,0
12,31,25,7,-8.34986850266879,325,0
13,36,11,24,14.0364320017365,258,1
14,12,10,20,-12.0910616795607,37,0
15,6,23,22,-5.89405733281142,340,0
16,17,29,33,-6.903571381420255,64,0
17,31,27,19,-9.655206260912076,321,0
18,35,20,19,-5.424525714372654,214,0
19,34,25,25,7.75113561955547,147,1
20,19,26,13,-31.5067330187997,24,0
21,22,29,4,-47.9499985685399,171,0
22,5,8,18,-26.3650393119919,10,0
23,18,26,32,-18.9567578683793,80,0
24,9,15,9,-9.51529222893242,397,0
25,26,10,19,11.0612362920114,234,1
26,15,30,31,24.1363877468783,296,1
27,20,29,21,-24.3961398717852,85,0
28,17,23,14,-15.7219311187846,58,0
29,13,5,12,-16.94520013965535,270,0
30,36,22,16,-59.9547062647782,259,0
31,35,3,2,-25.5770546367684,550,0
32,35,19,8,-5.04245268555133,209,0
33,36,37,5,-19.3693669465848,420,0
34,19,30,28,15.5331563544499,26,1
35,6,28,9,5.28988135972967,449,1
36,9,11,21,-9.66220741282483,180,0
37,11,25,26,-5.1061861797684,579,0
38,23,12,22,-6.82529889282171,515,0
39,3,29,8,5.01311730248851,286,1
40,22,25,27,-20.2180806834488,169,0
41,31,30,18,9.725187468222916,442,1
42,31,27,7,-6.48178557985049,321,0
43,35,13,20,-38.84921631321281,226,0
44,32,14,21,-6.186069671436336,96,0
45,2,14,23,-5.17259120334725,194,0
46,22,34,0,-15.893829262903,391,0
47,5,4,8,-71.991374692237,14,0
48,13,5,2,-41.8200764621605,270,0
49,2,24,16,15.9968712531516,399,1
50,18,24,26,28.5762772001054,79,1
51,10,30,18,6.61443008037803,463,1
52,35,12,3,-10.282148935361407,211,0
53,17,11,21,-9.28621691814898,60,0
54,36,24,12,8.52617866333054,495,1
55,1,30,26,6.183624602799149,375,1
56,6,29,24,8.487218312019436,542,1
57,12,8,25,9.469618682333016,455,1
58,34,29,18,-14.5316354682664,148,0
59,18,30,6,11.528472668160806,81,1
60,16,20,0,-24.6292594387386,47,0
61,28,8,23,5.489721246115045,376,1
62,24,4,25,11.354200724149,401,1
63,23,8,16,5.53527679288045,100,1
64,22,19,17,-37.280284583161205,159,0
65,3,10,16,11.4013964787643,537,1
66,7,20,9,-40.07876772653211,305,0
67,19,37,23,-9.64800646727609,28,0
68,35,26,33,12.9925539158413,223,1
69,2,3,6,9.115239070837506,483,1
70,25,37,23,-5.7963357009609,530,0
71,35,1,22,-18.7203952810344,217,0
72,23,30,2,8.37931347936201,102,1
73,36,37,27,-14.0570706783115,420,0
74,0,8,17,-35.4553263073941,1,0
75,6,7,15,-6.10242662736708,347,0
76,8,4,14,5.73928456042011,34,1
77,9,26,33,-11.3039698277735,395,0
78,23,29,23,5.1999321049716,103,1
79,9,10,2,-18.550310464567097,177,0
80,10,20,33,-10.623941626722324,461,0
81,1,11,19,9.32755377057919,472,1
82,15,27,26,-9.714879437586005,500,0
83,18,23,30,12.2003702577394,77,1
84,22,11,1,-16.252763908165498,166,0
85,32,7,0,-62.5197809422369,98,0
86,2,11,19,-13.6695466960686,525,0
87,32,26,20,-40.2322281526741,93,0
88,35,2,8,-22.7387708504506,221,0
89,22,27,28,-48.389587565025,165,0
90,19,12,30,-8.172954196023285,18,0
91,16,29,13,13.0365994917337,50,1
92,28,29,25,5.38893005321075,133,1
93,3,27,14,-8.42779268266069,498,0
