,drug_row,drug_col,DepMap_ID,synergy_loewe
0,0,19,13,-9.01376229175426
1,0,8,13,-7.86969111712712
2,0,10,13,7.75741024699119
3,0,20,13,-9.581096477986597
4,0,23,13,9.63771487731508
5,0,34,13,-5.817682387062909
6,0,26,13,-8.64122455124189
7,0,3,13,7.79517299985511
8,0,14,13,-11.4901491795629
9,0,7,13,-12.1818009990615
10,5,8,13,-32.2073485680706
11,5,20,13,-19.5621843924556
12,5,29,13,-14.9718737854663
13,5,37,13,-4.03143455768355
14,5,4,13,7.48900054187124
15,5,21,13,-45.1354283316471
16,19,5,13,-42.2410982775668
17,19,8,13,4.84838077028387
18,19,12,13,-6.202798890109395
19,19,10,13,6.36325427073484
20,19,20,13,-2.91338909001967
21,19,27,13,-19.3485793908566
22,19,11,13,-11.0971435494132
23,19,24,13,2.18399017390451
24,19,26,13,-31.5067330187997
25,19,25,13,-15.9982481110796
26,19,30,13,6.709997671054859
27,19,29,13,17.033789286723
28,19,37,13,-30.0274725561502
29,19,4,13,26.7528032398558
30,19,14,13,-18.6305531678053
31,19,21,13,17.738044341867898
32,8,20,13,3.20803606430774
33,8,37,13,-39.9722647964656
34,8,4,13,4.01797407987334
35,8,14,13,-8.52575311941711
36,12,5,13,-21.420278078208906
37,12,10,13,-4.05572606284329
38,12,20,13,-6.87137027556717
39,12,27,13,-8.476906194339705
40,12,37,13,-25.2784882857811
41,12,4,13,-8.823091523999889
42,12,14,13,-9.08575577077983
43,12,21,13,-1.65805058430176
44,16,8,13,-14.0273157683434
45,16,12,13,-3.891089694078385
46,16,10,13,6.028003366246445
47,16,20,13,-5.377905060069541
48,16,34,13,-12.0624416515184
49,16,24,13,-7.2681667131386
50,16,29,13,13.0365994917337
51,16,14,13,-19.2109486554008
52,16,7,13,-18.2416792985406
53,17,5,13,-7.6531278906882205
54,17,19,13,-54.229684271581405
55,17,8,13,-50.932830106670096
56,17,12,13,-52.9105124455236
57,17,20,13,-61.0294314491548
58,17,23,13,-19.702586621936295
59,17,27,13,-32.4026617944458
60,17,11,13,-7.118424151907065
61,17,24,13,-20.9307368424185
62,17,25,13,-11.0863252225039
63,17,30,13,-10.175704706354889
64,17,29,13,-27.4277562043344
65,17,3,13,-4.74253629965546
66,17,6,13,-33.57321309958325
67,10,8,13,8.291925738529429
68,10,29,13,14.2546138929306
69,10,37,13,-2.74505053796676
70,10,4,13,10.470141102705789
71,10,21,13,3.97404838593301
72,18,19,13,-51.0526530215814
73,18,8,13,-47.4221426066702
74,18,12,13,-48.6174186955236
75,18,10,13,-4.94967309757881
76,18,20,13,-50.2081580119965
77,18,23,13,-15.1908053719363
78,18,27,13,-24.489477273175403
79,18,24,13,-15.9690493424185
80,18,26,13,7.990973940318055
81,18,30,13,-6.031173456354875
82,18,29,13,-8.487778280986134
83,18,15,13,6.63043849063161
84,18,6,13,-31.9898068495832
85,20,29,13,-1.5594671307831849
86,32,5,13,-45.0142639957413
87,32,19,13,12.1604481087081
88,32,12,13,-5.71319191969299
89,32,20,13,-5.055629267803925
90,32,27,13,-10.105014608202396
91,32,34,13,-77.138265735765
92,32,11,13,-15.3650930087792
93,32,26,13,-43.662241043602
94,32,25,13,-22.0307652063606
95,32,29,13,14.332035028067502
96,32,14,13,-26.966118867839494
97,32,15,13,-46.307265628626894
98,32,7,13,-65.84206219223691
99,23,5,13,-13.7158500847763
100,23,8,13,10.04134171665078
101,23,10,13,14.0878148954661
102,23,30,13,10.07677279226782
103,23,29,13,6.532730447545781
104,23,37,13,-13.9890067074712
105,23,3,13,6.76027179794778
106,23,14,13,-6.25509850462183
107,1,19,13,-9.703992262556994
108,1,8,13,-25.228251409478094
109,1,12,13,-16.7283434735652
110,1,10,13,7.566941527332935
111,1,20,13,-26.5870418039566
112,1,23,13,1.66424117065141
113,1,24,13,-10.57743990282499
114,1,25,13,-10.5215570575022
115,1,29,13,16.5160019984215
116,1,14,13,-8.793795556713375
117,1,15,13,-4.44373822769667
118,1,7,13,-13.2269968508117
119,1,6,13,-16.8665713941422
120,27,8,13,-10.676844613818004
121,27,20,13,-12.6924893698132
122,27,37,13,-11.209829632533602
123,27,4,13,15.3585082732853
124,27,14,13,-17.1384008926068
125,28,5,13,-31.2287321065281
126,28,19,13,21.3378218295941
127,28,20,13,-12.2453464379678
128,28,27,13,-10.3185495087895
129,28,11,13,-19.0460171048626
130,28,26,13,-33.913356003864
131,28,25,13,-6.784360887722011
132,28,30,13,-7.0720942996424405
133,28,29,13,27.8245387279485
134,28,3,13,-5.90878159986671
135,28,14,13,-24.1634126926578
136,28,15,13,-33.07193867013015
137,28,7,13,-30.7631996336254
138,34,19,13,-54.5203790461256
139,34,8,13,-48.548310819216
140,34,12,13,-54.7086361353866
141,34,20,13,-62.194079352203445
142,34,23,13,-20.4134677694429
143,34,1,13,-19.99549626439725
144,34,27,13,-35.663104825385
145,34,28,13,-41.9625854643863
146,34,24,13,-22.122664274213697
147,34,25,13,-15.555226923708
148,34,29,13,-34.370463438907095
149,34,37,13,-13.8337594452479
150,34,3,13,-9.562647742896806
151,34,21,13,-47.1153206453242
152,34,33,13,-50.1763879457114
153,34,6,13,-35.82082677671
154,11,8,13,-4.29180030108798
155,11,20,13,-7.074677602314545
156,11,27,13,5.44175641330582
157,11,14,13,-3.47162398977547
158,11,21,13,-10.7624197667025
159,22,19,13,-59.7261871922369
160,22,8,13,-52.96765594223695
161,22,12,13,-26.217135840046
162,22,10,13,-3.93372673153684
163,22,20,13,-41.6823185566749
164,22,23,13,-49.6431675195849
165,22,27,13,-24.7875831361913
166,22,11,13,-12.5236478378631
167,22,24,13,-31.7487741041858
168,22,26,13,1.76622854686041
169,22,25,13,-10.334147410358614
170,22,30,13,-3.94945127113871
171,22,29,13,-18.8191517009036
172,22,14,13,-25.040674636836695
173,22,6,13,-50.8194012944491
174,9,5,13,-14.3445225112601
175,9,19,13,-6.47388556522921
176,9,12,13,-12.5156851556601
177,9,10,13,-5.08907024924845
178,9,20,13,-7.077822223256961
179,9,34,13,-36.8240395967977
180,9,11,13,-4.60793191656877
181,9,24,13,-3.99582858458103
182,9,25,13,-7.33273631039263
183,9,14,13,-11.387213706906897
184,9,7,13,-12.2421791805788
185,2,19,13,16.0265653006042
186,2,12,13,-4.85768813931888
187,2,10,13,9.076302567440404
188,2,20,13,-12.6406845879904
189,2,27,13,6.76498974399793
190,2,34,13,-25.9744071191857
191,2,26,13,-10.141354848425983
192,2,30,13,3.12192709618799
193,2,29,13,27.0908190906894
194,2,14,13,-22.5347144533451
195,2,15,13,-3.3725509432215
196,2,7,13,-7.06996516398323
197,2,6,13,-3.36649430762362
198,24,5,13,-18.645731258072303
199,24,8,13,9.645991068675633
200,24,12,13,-4.70068936884494
201,24,10,13,8.518746242054945
202,24,23,13,12.4749078461041
203,24,27,13,-6.063367774362115
204,24,30,13,7.3062894080406995
205,24,29,13,4.01136620263244
206,24,37,13,-25.1740496917611
207,24,3,13,6.04427662174446
208,35,0,13,-5.44881761903992
